,Date,NIFTY 50
0,2008-01-01,6136.75
1,2008-01-02,6144.7
2,2008-01-03,6184.25
3,2008-01-04,6179.1
4,2008-01-07,6271.0
5,2008-01-08,6282.45
6,2008-01-09,6287.55
7,2008-01-10,6278.1
8,2008-01-11,6166.65
9,2008-01-14,6208.8
10,2008-01-15,6226.35
11,2008-01-16,6065.0
12,2008-01-17,5937.95
13,2008-01-18,5907.75
14,2008-01-21,5705.0
15,2008-01-22,5203.35
16,2008-01-23,4903.05
17,2008-01-24,5208.0
18,2008-01-25,5035.05
19,2008-01-28,5380.95
20,2008-01-29,5279.55
21,2008-01-30,5283.75
22,2008-01-31,5172.25
23,2008-02-01,5140.6
24,2008-02-04,5315.55
25,2008-02-05,5463.75
26,2008-02-06,5470.4
27,2008-02-07,5322.55
28,2008-02-08,5132.1
29,2008-02-11,5120.55
30,2008-02-12,4877.85
31,2008-02-13,4836.55
32,2008-02-14,4944.65
33,2008-02-15,5202.85
34,2008-02-18,5304.45
35,2008-02-19,5278.4
36,2008-02-20,5267.15
37,2008-02-21,5156.9
38,2008-02-22,5183.4
39,2008-02-25,5112.25
40,2008-02-26,5200.8
41,2008-02-27,5271.4
42,2008-02-28,5266.35
43,2008-02-29,5285.0
44,2008-03-03,5222.8
45,2008-03-04,4958.55
46,2008-03-05,4866.85
47,2008-03-07,4918.3
48,2008-03-10,4767.8
49,2008-03-11,4796.3
50,2008-03-12,4869.75
51,2008-03-13,4868.7
52,2008-03-14,4623.8
53,2008-03-17,4745.45
54,2008-03-18,4519.9
55,2008-03-19,4534.75
56,2008-03-24,4576.8
57,2008-03-25,4616.8
58,2008-03-26,4878.7
59,2008-03-27,4828.8
60,2008-03-28,4830.0
61,2008-03-31,4942.15
62,2008-04-01,4735.65
63,2008-04-02,4741.4
64,2008-04-03,4753.9
65,2008-04-04,4766.7
66,2008-04-07,4631.35
67,2008-04-08,4760.65
68,2008-04-09,4707.05
69,2008-04-10,4747.55
70,2008-04-11,4734.35
71,2008-04-15,4779.95
72,2008-04-16,4881.65
73,2008-04-17,4890.6
74,2008-04-21,4955.9
75,2008-04-22,5037.05
76,2008-04-23,5044.35
77,2008-04-24,5022.9
78,2008-04-25,4999.15
79,2008-04-28,5112.5
80,2008-04-29,5092.4
81,2008-04-30,5198.35
82,2008-05-02,5265.3
83,2008-05-05,5227.25
84,2008-05-06,5192.35
85,2008-05-07,5156.7
86,2008-05-08,5135.8
87,2008-05-09,5070.85
88,2008-05-12,4981.0
89,2008-05-13,5008.6
90,2008-05-14,4958.45
91,2008-05-15,5010.9
92,2008-05-16,5115.65
93,2008-05-20,5157.0
94,2008-05-21,5105.7
95,2008-05-22,5117.0
96,2008-05-23,5026.55
97,2008-05-26,4953.6
98,2008-05-27,4877.15
99,2008-05-28,4862.7
100,2008-05-29,4926.3
101,2008-05-30,4844.05
102,2008-06-02,4869.25
103,2008-06-03,4739.3
104,2008-06-04,4718.7
105,2008-06-05,4586.95
106,2008-06-06,4680.55
107,2008-06-09,4626.45
108,2008-06-10,4522.0
109,2008-06-11,4469.65
110,2008-06-12,4524.4
111,2008-06-13,4539.5
112,2008-06-16,4536.3
113,2008-06-17,4572.5
114,2008-06-18,4652.8
115,2008-06-19,4582.55
116,2008-06-20,4504.2
117,2008-06-23,4351.15
118,2008-06-24,4271.05
119,2008-06-25,4189.6
120,2008-06-26,4252.6
121,2008-06-27,4315.3
122,2008-06-30,4136.25
123,2008-07-01,4039.75
124,2008-07-02,3895.3
125,2008-07-03,4094.6
126,2008-07-04,3926.65
127,2008-07-07,4002.0
128,2008-07-08,4028.7
129,2008-07-09,3990.9
130,2008-07-10,4155.65
131,2008-07-11,4166.0
132,2008-07-14,4047.45
133,2008-07-15,4039.3
134,2008-07-16,3861.55
135,2008-07-17,3823.15
136,2008-07-18,3962.95
137,2008-07-21,4092.2
138,2008-07-22,4158.45
139,2008-07-23,4246.7
140,2008-07-24,4476.2
141,2008-07-25,4440.85
142,2008-07-28,4282.25
143,2008-07-29,4332.2
144,2008-07-30,4191.2
145,2008-07-31,4314.35
146,2008-08-01,4331.6
147,2008-08-04,4426.1
148,2008-08-05,4395.8
149,2008-08-06,4506.25
150,2008-08-07,4515.25
151,2008-08-08,4518.35
152,2008-08-11,4529.35
153,2008-08-12,4620.95
154,2008-08-13,4548.05
155,2008-08-14,4524.2
156,2008-08-18,4430.7
157,2008-08-19,4393.1
158,2008-08-20,4365.45
159,2008-08-21,4416.2
160,2008-08-22,4283.85
161,2008-08-25,4317.95
162,2008-08-26,4335.2
163,2008-08-27,4336.85
164,2008-08-28,4290.75
165,2008-08-29,4230.6
166,2008-09-01,4356.1
167,2008-09-02,4358.85
168,2008-09-04,4512.95
169,2008-09-05,4444.7
170,2008-09-08,4358.3
171,2008-09-09,4485.15
172,2008-09-10,4467.5
173,2008-09-11,4397.25
174,2008-09-12,4291.6
175,2008-09-15,4231.95
176,2008-09-16,4072.55
177,2008-09-17,4074.8
178,2008-09-18,4005.25
179,2008-09-19,4040.8
180,2008-09-22,4248.95
181,2008-09-23,4223.9
182,2008-09-24,4125.75
183,2008-09-25,4162.15
184,2008-09-26,4108.75
185,2008-09-29,3990.2
186,2008-09-30,3848.7
187,2008-10-01,3921.85
188,2008-10-03,3953.55
189,2008-10-06,3817.3
190,2008-10-07,3606.95
191,2008-10-08,3604.4
192,2008-10-10,3502.05
193,2008-10-13,3272.9
194,2008-10-14,3494.1
195,2008-10-15,3517.9
196,2008-10-16,3333.85
197,2008-10-17,3269.05
198,2008-10-20,3108.2
199,2008-10-21,3125.4
200,2008-10-22,3234.7
201,2008-10-23,3064.8
202,2008-10-24,2936.25
203,2008-10-27,2583.75
204,2008-10-28,2526.2
205,2008-10-29,2685.3
206,2008-10-31,2696.3
207,2008-11-03,2885.4
208,2008-11-04,3050.25
209,2008-11-05,3155.75
210,2008-11-06,2998.45
211,2008-11-07,2893.25
212,2008-11-10,2973.3
213,2008-11-11,3147.2
214,2008-11-12,2937.9
215,2008-11-14,2848.0
216,2008-11-17,2813.4
217,2008-11-18,2802.45
218,2008-11-19,2682.75
219,2008-11-20,2634.2
220,2008-11-21,2553.6
221,2008-11-24,2690.85
222,2008-11-25,2708.3
223,2008-11-26,2652.45
224,2008-11-28,2745.7
225,2008-12-01,2755.15
226,2008-12-02,2672.9
227,2008-12-03,2657.5
228,2008-12-04,2656.5
229,2008-12-05,2786.65
230,2008-12-08,2714.7
231,2008-12-10,2785.7
232,2008-12-11,2934.05
233,2008-12-12,2915.35
234,2008-12-15,2917.9
235,2008-12-16,2983.6
236,2008-12-17,3040.45
237,2008-12-18,2955.35
238,2008-12-19,3063.0
239,2008-12-22,3077.25
240,2008-12-23,3039.25
241,2008-12-24,2967.4
242,2008-12-26,2919.85
243,2008-12-29,2857.15
244,2008-12-30,2922.55
245,2008-12-31,2979.8
246,2009-01-01,2963.3
247,2009-01-02,3034.6
248,2009-01-05,3058.75
249,2009-01-06,3121.5
250,2009-01-07,3112.8
251,2009-01-09,2919.95
252,2009-01-12,2868.85
253,2009-01-13,2775.0
254,2009-01-14,2748.4
255,2009-01-15,2832.3
256,2009-01-16,2737.0
257,2009-01-19,2828.7
258,2009-01-20,2842.9
259,2009-01-21,2777.4
260,2009-01-22,2714.7
261,2009-01-23,2705.45
262,2009-01-27,2686.05
263,2009-01-28,2771.1
264,2009-01-29,2849.35
265,2009-01-30,2824.05
266,2009-02-02,2872.35
267,2009-02-03,2773.5
268,2009-02-04,2780.7
269,2009-02-05,2802.75
270,2009-02-06,2779.35
271,2009-02-09,2843.05
272,2009-02-10,2919.7
273,2009-02-11,2933.0
274,2009-02-12,2927.4
275,2009-02-13,2896.95
276,2009-02-16,2948.25
277,2009-02-17,2853.85
278,2009-02-18,2755.15
279,2009-02-19,2776.7
280,2009-02-20,2789.3
281,2009-02-24,2737.25
282,2009-02-25,2733.45
283,2009-02-26,2762.2
284,2009-02-27,2785.7
285,2009-03-02,2764.6
286,2009-03-03,2672.15
287,2009-03-04,2611.95
288,2009-03-05,2645.9
289,2009-03-06,2576.75
290,2009-03-09,2620.1
291,2009-03-12,2574.5
292,2009-03-13,2616.6
293,2009-03-16,2716.05
294,2009-03-17,2776.35
295,2009-03-18,2757.65
296,2009-03-19,2797.05
297,2009-03-20,2807.35
298,2009-03-23,2807.25
299,2009-03-24,2923.8
300,2009-03-25,2938.8
301,2009-03-26,2982.25
302,2009-03-27,3079.4
303,2009-03-30,3108.75
304,2009-03-31,2981.7
305,2009-04-01,3023.85
306,2009-04-02,3061.05
307,2009-04-06,3211.35
308,2009-04-08,3255.35
309,2009-04-09,3346.0
310,2009-04-13,3342.2
311,2009-04-15,3381.45
312,2009-04-16,3484.35
313,2009-04-17,3369.5
314,2009-04-20,3384.75
315,2009-04-21,3376.85
316,2009-04-22,3364.6
317,2009-04-23,3330.5
318,2009-04-24,3423.6
319,2009-04-27,3481.3
320,2009-04-28,3469.5
321,2009-04-29,3371.65
322,2009-05-04,3478.7
323,2009-05-05,3664.5
324,2009-05-06,3662.0
325,2009-05-07,3617.15
326,2009-05-08,3681.8
327,2009-05-11,3615.75
328,2009-05-12,3554.65
329,2009-05-13,3668.75
330,2009-05-14,3631.9
331,2009-05-15,3597.85
332,2009-05-18,3673.15
333,2009-05-19,4324.95
334,2009-05-20,4318.75
335,2009-05-21,4270.35
336,2009-05-22,4211.85
337,2009-05-25,4238.1
338,2009-05-26,4239.55
339,2009-05-27,4117.3
340,2009-05-28,4276.15
341,2009-05-29,4340.75
342,2009-06-01,4450.4
343,2009-06-02,4530.45
344,2009-06-03,4525.5
345,2009-06-04,4530.3
346,2009-06-05,4573.3
347,2009-06-08,4582.35
348,2009-06-09,4427.75
349,2009-06-10,4551.7
350,2009-06-11,4657.4
351,2009-06-12,4637.55
352,2009-06-15,4584.65
353,2009-06-16,4478.1
354,2009-06-17,4515.35
355,2009-06-18,4352.95
356,2009-06-19,4251.1
357,2009-06-22,4314.2
358,2009-06-23,4223.3
359,2009-06-24,4247.3
360,2009-06-25,4293.85
361,2009-06-26,4243.95
362,2009-06-29,4375.4
363,2009-06-30,4391.5
364,2009-07-01,4292.3
365,2009-07-02,4373.5
366,2009-07-03,4347.3
367,2009-07-06,4429.6
368,2009-07-07,4166.0
369,2009-07-08,4201.85
370,2009-07-09,4078.75
371,2009-07-10,4081.4
372,2009-07-13,4003.4
373,2009-07-14,3974.1
374,2009-07-15,4120.8
375,2009-07-16,4223.5
376,2009-07-17,4231.45
377,2009-07-20,4377.9
378,2009-07-21,4501.5
379,2009-07-22,4469.3
380,2009-07-23,4409.7
381,2009-07-24,4524.8
382,2009-07-27,4568.65
383,2009-07-28,4572.8
384,2009-07-29,4565.8
385,2009-07-30,4513.1
386,2009-07-31,4571.6
387,2009-08-03,4633.8
388,2009-08-04,4706.25
389,2009-08-05,4680.95
390,2009-08-06,4694.35
391,2009-08-07,4591.9
392,2009-08-10,4486.5
393,2009-08-11,4435.0
394,2009-08-12,4473.8
395,2009-08-13,4458.55
396,2009-08-14,4605.15
397,2009-08-17,4578.8
398,2009-08-18,4389.5
399,2009-08-19,4457.75
400,2009-08-20,4394.35
401,2009-08-21,4453.45
402,2009-08-24,4536.95
403,2009-08-25,4641.65
404,2009-08-26,4659.45
405,2009-08-27,4679.0
406,2009-08-28,4688.4
407,2009-08-31,4730.85
408,2009-09-01,4662.2
409,2009-09-02,4624.0
410,2009-09-03,4608.75
411,2009-09-04,4608.7
412,2009-09-07,4682.4
413,2009-09-08,4782.85
414,2009-09-09,4804.9
415,2009-09-10,4814.35
416,2009-09-11,4819.4
417,2009-09-14,4830.35
418,2009-09-15,4808.35
419,2009-09-16,4894.65
420,2009-09-17,4958.55
421,2009-09-18,4963.95
422,2009-09-22,4977.1
423,2009-09-23,5019.95
424,2009-09-24,4977.15
425,2009-09-25,4985.1
426,2009-09-29,4959.15
427,2009-09-30,5007.65
428,2009-10-01,5087.2
429,2009-10-05,5076.05
430,2009-10-06,5003.65
431,2009-10-07,5031.7
432,2009-10-08,5011.25
433,2009-10-09,4993.0
434,2009-10-12,4945.45
435,2009-10-14,5054.35
436,2009-10-15,5118.55
437,2009-10-16,5108.65
438,2009-10-17,5159.35
439,2009-10-20,5145.6
440,2009-10-21,5114.85
441,2009-10-22,5063.35
442,2009-10-23,4986.55
443,2009-10-26,4997.15
444,2009-10-27,4970.55
445,2009-10-28,4846.55
446,2009-10-29,4826.1
447,2009-10-30,4751.1
448,2009-11-03,4712.25
449,2009-11-04,4567.3
450,2009-11-05,4711.65
451,2009-11-06,4767.5
