,Date,NIFTY BANK
0,2008-01-01,9819.5
1,2008-01-02,10103.35
2,2008-01-03,10164.0
3,2008-01-04,10288.05
4,2008-01-07,9983.1
5,2008-01-08,10463.85
6,2008-01-09,10355.05
7,2008-01-10,10442.3
8,2008-01-11,10295.7
9,2008-01-14,10614.85
10,2008-01-15,10680.0
11,2008-01-16,10390.45
12,2008-01-17,10404.7
13,2008-01-18,10168.25
14,2008-01-21,9671.4
15,2008-01-22,8663.7
16,2008-01-23,9021.5
17,2008-01-24,9369.1
18,2008-01-25,9170.35
19,2008-01-28,9748.35
20,2008-01-29,9933.2
21,2008-01-30,9635.35
22,2008-01-31,9442.2
23,2008-02-01,9320.25
24,2008-02-04,9444.4
25,2008-02-05,9577.3
26,2008-02-06,9169.55
27,2008-02-07,9225.3
28,2008-02-08,8976.6
29,2008-02-11,8841.2
30,2008-02-12,8586.0
31,2008-02-13,8598.25
32,2008-02-14,8911.6
33,2008-02-15,9059.2
34,2008-02-18,9411.25
35,2008-02-19,9438.2
36,2008-02-20,9215.45
37,2008-02-21,9143.8
38,2008-02-22,8922.15
39,2008-02-25,8715.8
40,2008-02-26,8704.35
41,2008-02-27,8808.65
42,2008-02-28,8683.85
43,2008-02-29,8535.85
44,2008-03-03,8460.6
45,2008-03-04,8032.95
46,2008-03-05,7696.8
47,2008-03-07,7474.3
48,2008-03-10,7163.5
49,2008-03-11,7186.1
50,2008-03-12,7533.5
51,2008-03-13,7226.8
52,2008-03-14,6914.15
53,2008-03-17,6956.0
54,2008-03-18,6493.35
55,2008-03-19,6718.3
56,2008-03-24,6461.65
57,2008-03-25,6804.25
58,2008-03-26,7151.65
59,2008-03-27,7075.9
60,2008-03-28,7022.05
61,2008-03-31,6970.55
62,2008-04-01,6706.7
63,2008-04-02,6690.8
64,2008-04-03,6769.9
65,2008-04-04,6754.05
66,2008-04-07,6485.4
67,2008-04-08,6843.0
68,2008-04-09,6839.25
69,2008-04-10,7090.6
70,2008-04-11,6935.8
71,2008-04-15,6773.3
72,2008-04-16,6979.85
73,2008-04-17,7045.4
74,2008-04-21,7174.45
75,2008-04-22,7402.8
76,2008-04-23,7518.8
77,2008-04-24,7408.35
78,2008-04-25,7409.5
79,2008-04-28,7643.35
80,2008-04-29,7580.05
81,2008-04-30,7765.25
82,2008-05-02,7774.1
83,2008-05-05,7879.65
84,2008-05-06,7842.9
85,2008-05-07,7787.85
86,2008-05-08,7671.85
87,2008-05-09,7530.9
88,2008-05-12,7274.7
89,2008-05-13,7384.8
90,2008-05-14,7288.25
91,2008-05-15,7325.15
92,2008-05-16,7559.15
93,2008-05-20,7616.85
94,2008-05-21,7425.35
95,2008-05-22,7283.6
96,2008-05-23,7170.4
97,2008-05-26,6899.9
98,2008-05-27,6832.45
99,2008-05-28,6595.05
100,2008-05-29,6826.5
101,2008-05-30,6608.6
102,2008-06-02,6577.3
103,2008-06-03,6265.65
104,2008-06-04,6311.25
105,2008-06-05,6151.35
106,2008-06-06,6205.55
107,2008-06-09,5960.9
108,2008-06-10,5910.3
109,2008-06-11,5857.55
110,2008-06-12,5796.65
111,2008-06-13,5976.5
112,2008-06-16,6030.6
113,2008-06-17,6127.25
114,2008-06-18,6441.5
115,2008-06-19,6159.35
116,2008-06-20,6003.3
117,2008-06-23,5686.55
118,2008-06-24,5644.15
119,2008-06-25,5382.3
120,2008-06-26,5536.15
121,2008-06-27,5343.9
122,2008-06-30,5214.1
123,2008-07-01,5042.1
124,2008-07-02,4725.0
125,2008-07-03,4993.5
126,2008-07-04,4834.0
127,2008-07-07,5009.1
128,2008-07-08,4951.55
129,2008-07-09,5214.6
130,2008-07-10,5251.45
131,2008-07-11,5361.4
132,2008-07-14,5179.95
133,2008-07-15,5124.85
134,2008-07-16,4837.6
135,2008-07-17,4906.35
136,2008-07-18,5109.3
137,2008-07-21,5448.2
138,2008-07-22,5594.8
139,2008-07-23,6033.05
140,2008-07-24,6445.3
141,2008-07-25,6044.6
142,2008-07-28,5900.3
143,2008-07-29,5767.0
144,2008-07-30,5522.75
145,2008-07-31,5762.4
146,2008-08-01,5655.35
147,2008-08-04,5932.45
148,2008-08-05,5888.85
149,2008-08-06,6544.75
150,2008-08-07,6281.5
151,2008-08-08,6295.7
152,2008-08-11,6574.5
153,2008-08-12,6650.2
154,2008-08-13,6403.85
155,2008-08-14,6305.1
156,2008-08-18,5999.15
157,2008-08-19,5928.95
158,2008-08-20,6039.9
159,2008-08-21,6001.65
160,2008-08-22,5671.6
161,2008-08-25,5897.2
162,2008-08-26,5801.1
163,2008-08-27,5978.9
164,2008-08-28,5817.8
165,2008-08-29,5828.0
166,2008-09-01,6070.9
167,2008-09-02,6139.45
168,2008-09-04,6439.85
169,2008-09-05,6318.25
170,2008-09-08,6608.0
171,2008-09-09,6469.95
172,2008-09-10,6401.4
173,2008-09-11,6342.8
174,2008-09-12,6405.65
175,2008-09-15,6006.7
176,2008-09-16,5783.7
177,2008-09-17,6169.95
178,2008-09-18,5692.65
179,2008-09-19,6281.55
180,2008-09-22,6396.2
181,2008-09-23,6147.5
182,2008-09-24,6091.65
183,2008-09-25,6131.55
184,2008-09-26,6070.6
185,2008-09-29,5863.05
186,2008-09-30,5447.65
187,2008-10-01,5875.55
188,2008-10-03,5920.7
189,2008-10-06,5702.85
190,2008-10-07,5713.25
191,2008-10-08,5336.0
192,2008-10-10,4890.0
193,2008-10-13,5034.65
194,2008-10-14,5694.15
195,2008-10-15,5452.45
196,2008-10-16,5222.0
197,2008-10-17,5557.95
198,2008-10-20,5237.6
199,2008-10-21,5373.65
200,2008-10-22,5339.25
201,2008-10-23,4904.55
202,2008-10-24,4769.7
203,2008-10-27,4280.55
204,2008-10-28,4346.75
205,2008-10-29,4451.7
206,2008-10-31,4364.35
207,2008-11-03,4791.8
208,2008-11-04,4884.3
209,2008-11-05,5355.45
210,2008-11-06,4949.75
211,2008-11-07,4894.25
212,2008-11-10,5097.85
213,2008-11-11,5207.8
214,2008-11-12,4875.1
215,2008-11-14,4866.5
216,2008-11-17,4736.25
217,2008-11-18,4474.5
218,2008-11-19,4366.0
219,2008-11-20,4078.1
220,2008-11-21,4083.5
221,2008-11-24,4274.3
222,2008-11-25,4289.4
223,2008-11-26,4086.5
224,2008-11-28,4148.75
225,2008-12-01,4317.8
226,2008-12-02,3989.0
227,2008-12-03,4161.95
228,2008-12-04,4224.95
229,2008-12-05,4442.95
230,2008-12-08,4502.05
231,2008-12-10,4517.65
232,2008-12-11,4557.05
233,2008-12-12,4502.55
234,2008-12-15,4714.95
235,2008-12-16,4698.5
236,2008-12-17,4868.5
237,2008-12-18,4785.2
238,2008-12-19,5091.15
239,2008-12-22,5119.25
240,2008-12-23,4986.55
241,2008-12-24,4824.95
242,2008-12-26,4964.35
243,2008-12-29,4774.7
244,2008-12-30,4988.4
245,2008-12-31,5094.35
246,2009-01-01,5019.2
247,2009-01-02,5154.2
248,2009-01-05,5273.45
249,2009-01-06,5333.5
250,2009-01-07,5416.35
251,2009-01-09,4891.8
252,2009-01-12,4862.0
253,2009-01-13,4700.25
254,2009-01-14,4684.3
255,2009-01-15,4598.4
256,2009-01-16,4528.9
257,2009-01-19,4585.7
258,2009-01-20,4495.0
259,2009-01-21,4347.6
260,2009-01-22,4326.25
261,2009-01-23,4270.7
262,2009-01-27,4167.65
263,2009-01-28,4220.5
264,2009-01-29,4345.45
265,2009-01-30,4289.65
266,2009-02-02,4403.9
267,2009-02-03,4266.05
268,2009-02-04,4296.3
269,2009-02-05,4278.5
270,2009-02-06,4275.65
271,2009-02-09,4365.55
272,2009-02-10,4475.15
273,2009-02-11,4425.3
274,2009-02-12,4476.05
275,2009-02-13,4511.35
276,2009-02-16,4538.6
277,2009-02-17,4303.4
278,2009-02-18,4101.35
279,2009-02-19,4075.85
280,2009-02-20,4013.85
281,2009-02-24,3923.85
282,2009-02-25,3929.85
283,2009-02-26,3896.05
284,2009-02-27,3823.25
285,2009-03-02,3831.25
286,2009-03-03,3682.1
287,2009-03-04,3671.2
288,2009-03-05,3635.55
289,2009-03-06,3385.4
290,2009-03-09,3424.35
291,2009-03-12,3422.85
292,2009-03-13,3498.1
293,2009-03-16,3651.3
294,2009-03-17,3752.2
295,2009-03-18,3704.0
296,2009-03-19,3759.25
297,2009-03-20,3753.1
298,2009-03-23,3763.75
299,2009-03-24,4016.25
300,2009-03-25,4013.7
301,2009-03-26,4179.25
302,2009-03-27,4282.35
303,2009-03-30,4368.05
304,2009-03-31,4071.6
305,2009-04-01,4153.55
306,2009-04-02,4322.2
307,2009-04-06,4501.25
308,2009-04-08,4325.1
309,2009-04-09,4566.7
310,2009-04-13,4661.95
311,2009-04-15,4717.35
312,2009-04-16,5079.2
313,2009-04-17,4939.65
314,2009-04-20,5107.0
