,Date,NIFTY IT
0,2008-01-01,4809.9
1,2008-01-02,4747.4
2,2008-01-03,4679.9
3,2008-01-04,4616.35
4,2008-01-07,4580.05
5,2008-01-08,4473.95
6,2008-01-09,4511.65
7,2008-01-10,4544.95
8,2008-01-11,4391.65
9,2008-01-14,4405.5
10,2008-01-15,4278.55
11,2008-01-16,4188.5
12,2008-01-17,4205.1
13,2008-01-18,4139.5
14,2008-01-21,4031.0
15,2008-01-22,3770.1
16,2008-01-23,3792.7
17,2008-01-24,3891.0
18,2008-01-25,3727.1
19,2008-01-28,3874.9
20,2008-01-29,3803.2
21,2008-01-30,3864.9
22,2008-01-31,3850.45
23,2008-02-01,3856.0
24,2008-02-04,4099.75
25,2008-02-05,4257.85
26,2008-02-06,4191.5
27,2008-02-07,3973.4
28,2008-02-08,3844.0
29,2008-02-11,3961.35
30,2008-02-12,3972.0
31,2008-02-13,3870.1
32,2008-02-14,3900.8
33,2008-02-15,3877.4
34,2008-02-18,3959.15
35,2008-02-19,3898.6
36,2008-02-20,3964.05
37,2008-02-21,3966.35
38,2008-02-22,4109.15
39,2008-02-25,4044.7
40,2008-02-26,4124.7
41,2008-02-27,4138.75
42,2008-02-28,4067.9
43,2008-02-29,4055.25
44,2008-03-03,3932.05
45,2008-03-04,3863.65
46,2008-03-05,3812.85
47,2008-03-07,3880.95
48,2008-03-10,3742.55
49,2008-03-11,3700.4
50,2008-03-12,3698.85
51,2008-03-13,3583.55
52,2008-03-14,3394.9
53,2008-03-17,3454.35
54,2008-03-18,3415.55
55,2008-03-19,3496.45
56,2008-03-24,3495.3
57,2008-03-25,3619.25
58,2008-03-26,3907.1
59,2008-03-27,3809.5
60,2008-03-28,3739.3
61,2008-03-31,3808.65
62,2008-04-01,3739.8
63,2008-04-02,3749.85
64,2008-04-03,3760.25
65,2008-04-04,3848.9
66,2008-04-07,3837.15
67,2008-04-08,3893.25
68,2008-04-09,3827.85
69,2008-04-10,3836.3
70,2008-04-11,3837.5
71,2008-04-15,3824.9
72,2008-04-16,4063.7
73,2008-04-17,4225.3
74,2008-04-21,4317.6
75,2008-04-22,4206.95
76,2008-04-23,4051.05
77,2008-04-24,4098.05
78,2008-04-25,4127.6
79,2008-04-28,3978.55
80,2008-04-29,4132.95
81,2008-04-30,4330.35
82,2008-05-02,4388.9
83,2008-05-05,4467.75
84,2008-05-06,4341.9
85,2008-05-07,4496.25
86,2008-05-08,4467.0
87,2008-05-09,4410.25
88,2008-05-12,4287.15
89,2008-05-13,4352.4
90,2008-05-14,4352.8
91,2008-05-15,4513.0
92,2008-05-16,4589.6
93,2008-05-20,4504.05
94,2008-05-21,4504.85
95,2008-05-22,4495.65
96,2008-05-23,4500.35
97,2008-05-26,4389.2
98,2008-05-27,4482.8
99,2008-05-28,4501.95
100,2008-05-29,4629.35
101,2008-05-30,4592.4
102,2008-06-02,4699.65
103,2008-06-03,4519.45
104,2008-06-04,4520.05
105,2008-06-05,4420.2
106,2008-06-06,4642.25
107,2008-06-09,4495.9
108,2008-06-10,4348.15
109,2008-06-11,4268.85
110,2008-06-12,4260.1
111,2008-06-13,4319.8
112,2008-06-16,4352.75
113,2008-06-17,4383.95
114,2008-06-18,4429.1
115,2008-06-19,4283.1
116,2008-06-20,4322.9
117,2008-06-23,4133.6
118,2008-06-24,4176.95
119,2008-06-25,4079.9
120,2008-06-26,4116.4
121,2008-06-27,4131.35
122,2008-06-30,4016.75
123,2008-07-01,4000.85
124,2008-07-02,3917.85
125,2008-07-03,4087.3
126,2008-07-04,3999.9
127,2008-07-07,4015.95
128,2008-07-08,4031.5
129,2008-07-09,3999.7
130,2008-07-10,4128.6
131,2008-07-11,4183.15
132,2008-07-14,3822.8
133,2008-07-15,3615.15
134,2008-07-16,3576.4
135,2008-07-17,3585.65
136,2008-07-18,3658.75
137,2008-07-21,3608.75
138,2008-07-22,3605.4
139,2008-07-23,3743.2
140,2008-07-24,3816.15
141,2008-07-25,3666.55
142,2008-07-28,3656.65
143,2008-07-29,3513.45
144,2008-07-30,3677.7
145,2008-07-31,3819.25
146,2008-08-01,3723.75
147,2008-08-04,3826.4
148,2008-08-05,3811.75
149,2008-08-06,3932.55
150,2008-08-07,3972.1
151,2008-08-08,3949.75
152,2008-08-11,3938.8
153,2008-08-12,3920.5
154,2008-08-13,3788.1
155,2008-08-14,3862.95
156,2008-08-18,3919.45
157,2008-08-19,3927.5
158,2008-08-20,3900.95
159,2008-08-21,3902.1
160,2008-08-22,3811.8
161,2008-08-25,3848.25
162,2008-08-26,3827.55
163,2008-08-27,3906.65
164,2008-08-28,3885.0
165,2008-08-29,3827.0
166,2008-09-01,3925.45
167,2008-09-02,3934.0
168,2008-09-04,4047.6
169,2008-09-05,4005.5
170,2008-09-08,3998.7
171,2008-09-09,4009.25
172,2008-09-10,4021.6
173,2008-09-11,4018.95
174,2008-09-12,3969.15
175,2008-09-15,3729.0
176,2008-09-16,3493.35
177,2008-09-17,3554.4
178,2008-09-18,3422.5
179,2008-09-19,3560.7
180,2008-09-22,3694.15
181,2008-09-23,3572.85
182,2008-09-24,3489.7
183,2008-09-25,3415.95
184,2008-09-26,3318.2
185,2008-09-29,3192.45
186,2008-09-30,2974.5
187,2008-10-01,3111.05
188,2008-10-03,3218.4
189,2008-10-06,3081.35
190,2008-10-07,2964.0
191,2008-10-08,2738.95
192,2008-10-10,2610.4
193,2008-10-13,2549.6
194,2008-10-14,2700.45
195,2008-10-15,2762.15
196,2008-10-16,2527.95
197,2008-10-17,2565.45
198,2008-10-20,2441.0
199,2008-10-21,2629.15
200,2008-10-22,2719.4
201,2008-10-23,2553.2
202,2008-10-24,2541.3
203,2008-10-27,2388.0
204,2008-10-28,2442.05
205,2008-10-29,2585.35
206,2008-10-31,2585.7
207,2008-11-03,2776.5
208,2008-11-04,2709.25
209,2008-11-05,2592.1
210,2008-11-06,2534.3
211,2008-11-07,2451.3
212,2008-11-10,2597.3
213,2008-11-11,2642.8
214,2008-11-12,2494.75
215,2008-11-14,2558.35
216,2008-11-17,2452.15
217,2008-11-18,2430.75
218,2008-11-19,2341.55
219,2008-11-20,2227.55
220,2008-11-21,2190.55
221,2008-11-24,2313.0
222,2008-11-25,2419.3
223,2008-11-26,2316.6
224,2008-11-28,2322.2
225,2008-12-01,2457.1
226,2008-12-02,2333.4
227,2008-12-03,2368.4
228,2008-12-04,2309.85
229,2008-12-05,2346.95
230,2008-12-08,2282.6
231,2008-12-10,2341.75
232,2008-12-11,2394.25
233,2008-12-12,2268.65
234,2008-12-15,2241.1
235,2008-12-16,2201.3
236,2008-12-17,2245.6
237,2008-12-18,2231.3
238,2008-12-19,2322.85
239,2008-12-22,2324.8
240,2008-12-23,2300.45
241,2008-12-24,2289.7
242,2008-12-26,2191.65
243,2008-12-29,2121.4
244,2008-12-30,2147.7
245,2008-12-31,2215.6
246,2009-01-01,2201.95
247,2009-01-02,2287.45
248,2009-01-05,2265.35
249,2009-01-06,2317.9
250,2009-01-07,2336.75
251,2009-01-09,2167.05
252,2009-01-12,2172.55
253,2009-01-13,2072.25
254,2009-01-14,2226.95
255,2009-01-15,2176.2
256,2009-01-16,2173.1
257,2009-01-19,2195.3
258,2009-01-20,2148.3
259,2009-01-21,2138.95
260,2009-01-22,2124.85
261,2009-01-23,2091.75
262,2009-01-27,2091.95
263,2009-01-28,2132.75
264,2009-01-29,2211.45
265,2009-01-30,2187.35
266,2009-02-02,2213.85
267,2009-02-03,2162.2
268,2009-02-04,2186.35
269,2009-02-05,2181.65
270,2009-02-06,2130.15
271,2009-02-09,2187.2
272,2009-02-10,2225.8
273,2009-02-11,2208.45
274,2009-02-12,2189.8
