,Date,NIFTY MEDIA
0,2008-01-01,
1,2008-01-02,
2,2008-01-03,
3,2008-01-04,
4,2008-01-07,
5,2008-01-08,
6,2008-01-09,
7,2008-01-10,
8,2008-01-11,
9,2008-01-14,
10,2008-01-15,
11,2008-01-16,
12,2008-01-17,
13,2008-01-18,
14,2008-01-21,
15,2008-01-22,
16,2008-01-23,
17,2008-01-24,
18,2008-01-25,
19,2008-01-28,
20,2008-01-29,
21,2008-01-30,
22,2008-01-31,
23,2008-02-01,
24,2008-02-04,
25,2008-02-05,
26,2008-02-06,
27,2008-02-07,
28,2008-02-08,
29,2008-02-11,
30,2008-02-12,
31,2008-02-13,
32,2008-02-14,
33,2008-02-15,
34,2008-02-18,
35,2008-02-19,
36,2008-02-20,
37,2008-02-21,
38,2008-02-22,
39,2008-02-25,
40,2008-02-26,
41,2008-02-27,
42,2008-02-28,
43,2008-02-29,
44,2008-03-03,
45,2008-03-04,
46,2008-03-05,
47,2008-03-07,
48,2008-03-10,
49,2008-03-11,
50,2008-03-12,
51,2008-03-13,
52,2008-03-14,
53,2008-03-17,
54,2008-03-18,
55,2008-03-19,
56,2008-03-24,
57,2008-03-25,
58,2008-03-26,
59,2008-03-27,
60,2008-03-28,
61,2008-03-31,
62,2008-04-01,
63,2008-04-02,
64,2008-04-03,
65,2008-04-04,
66,2008-04-07,
67,2008-04-08,
68,2008-04-09,
69,2008-04-10,
70,2008-04-11,
71,2008-04-15,
72,2008-04-16,
73,2008-04-17,
74,2008-04-21,
75,2008-04-22,
76,2008-04-23,
77,2008-04-24,
78,2008-04-25,
79,2008-04-28,
80,2008-04-29,
81,2008-04-30,
82,2008-05-02,
83,2008-05-05,
84,2008-05-06,
85,2008-05-07,
86,2008-05-08,
87,2008-05-09,
88,2008-05-12,
89,2008-05-13,
90,2008-05-14,
91,2008-05-15,
92,2008-05-16,
93,2008-05-20,
94,2008-05-21,
95,2008-05-22,
96,2008-05-23,
97,2008-05-26,
98,2008-05-27,
99,2008-05-28,
100,2008-05-29,
101,2008-05-30,
102,2008-06-02,
103,2008-06-03,
104,2008-06-04,
105,2008-06-05,
106,2008-06-06,
107,2008-06-09,
108,2008-06-10,
109,2008-06-11,
110,2008-06-12,
111,2008-06-13,
112,2008-06-16,
113,2008-06-17,
114,2008-06-18,
115,2008-06-19,
116,2008-06-20,
117,2008-06-23,
118,2008-06-24,
119,2008-06-25,
120,2008-06-26,
121,2008-06-27,
122,2008-06-30,
123,2008-07-01,
124,2008-07-02,
125,2008-07-03,
126,2008-07-04,
127,2008-07-07,
128,2008-07-08,
129,2008-07-09,
130,2008-07-10,
131,2008-07-11,
132,2008-07-14,
133,2008-07-15,
134,2008-07-16,
135,2008-07-17,
136,2008-07-18,
137,2008-07-21,
138,2008-07-22,
139,2008-07-23,
140,2008-07-24,
141,2008-07-25,
142,2008-07-28,
143,2008-07-29,
144,2008-07-30,
145,2008-07-31,
146,2008-08-01,
147,2008-08-04,
148,2008-08-05,
149,2008-08-06,
150,2008-08-07,
151,2008-08-08,
152,2008-08-11,
153,2008-08-12,
154,2008-08-13,
155,2008-08-14,
156,2008-08-18,
157,2008-08-19,
158,2008-08-20,
159,2008-08-21,
160,2008-08-22,
161,2008-08-25,
162,2008-08-26,
163,2008-08-27,
164,2008-08-28,
165,2008-08-29,
166,2008-09-01,
167,2008-09-02,
168,2008-09-04,
169,2008-09-05,
170,2008-09-08,
171,2008-09-09,
172,2008-09-10,
173,2008-09-11,
174,2008-09-12,
175,2008-09-15,
176,2008-09-16,
177,2008-09-17,
178,2008-09-18,
179,2008-09-19,
180,2008-09-22,
181,2008-09-23,
182,2008-09-24,
183,2008-09-25,
184,2008-09-26,
185,2008-09-29,
186,2008-09-30,
187,2008-10-01,
188,2008-10-03,
189,2008-10-06,
190,2008-10-07,
191,2008-10-08,
192,2008-10-10,
193,2008-10-13,
194,2008-10-14,
195,2008-10-15,
196,2008-10-16,
197,2008-10-17,
198,2008-10-20,
199,2008-10-21,
200,2008-10-22,
201,2008-10-23,
202,2008-10-24,
203,2008-10-27,
204,2008-10-28,
205,2008-10-29,
206,2008-10-31,
207,2008-11-03,
208,2008-11-04,
209,2008-11-05,
210,2008-11-06,
211,2008-11-07,
212,2008-11-10,
213,2008-11-11,
214,2008-11-12,
215,2008-11-14,
216,2008-11-17,
217,2008-11-18,
218,2008-11-19,
219,2008-11-20,
220,2008-11-21,
221,2008-11-24,
222,2008-11-25,
223,2008-11-26,
224,2008-11-28,
225,2008-12-01,
226,2008-12-02,
227,2008-12-03,
228,2008-12-04,
229,2008-12-05,
230,2008-12-08,
231,2008-12-10,
232,2008-12-11,
233,2008-12-12,
234,2008-12-15,
235,2008-12-16,
236,2008-12-17,
237,2008-12-18,
238,2008-12-19,
239,2008-12-22,
240,2008-12-23,
241,2008-12-24,
242,2008-12-26,
243,2008-12-29,
244,2008-12-30,
245,2008-12-31,
246,2009-01-01,
247,2009-01-02,
248,2009-01-05,
249,2009-01-06,
250,2009-01-07,
251,2009-01-09,
252,2009-01-12,
253,2009-01-13,
254,2009-01-14,
255,2009-01-15,
256,2009-01-16,
257,2009-01-19,
258,2009-01-20,
259,2009-01-21,
260,2009-01-22,
261,2009-01-23,
262,2009-01-27,
263,2009-01-28,
264,2009-01-29,
265,2009-01-30,
266,2009-02-02,
267,2009-02-03,
268,2009-02-04,
269,2009-02-05,
270,2009-02-06,
271,2009-02-09,
272,2009-02-10,
273,2009-02-11,
274,2009-02-12,
275,2009-02-13,
276,2009-02-16,
277,2009-02-17,
278,2009-02-18,
279,2009-02-19,
280,2009-02-20,
281,2009-02-24,
282,2009-02-25,
283,2009-02-26,
284,2009-02-27,
285,2009-03-02,
286,2009-03-03,
287,2009-03-04,
288,2009-03-05,
289,2009-03-06,
290,2009-03-09,
291,2009-03-12,
292,2009-03-13,
293,2009-03-16,
294,2009-03-17,
295,2009-03-18,
296,2009-03-19,
297,2009-03-20,
298,2009-03-23,
299,2009-03-24,
300,2009-03-25,
301,2009-03-26,
302,2009-03-27,
303,2009-03-30,
304,2009-03-31,
305,2009-04-01,
306,2009-04-02,
307,2009-04-06,
308,2009-04-08,
309,2009-04-09,
310,2009-04-13,
311,2009-04-15,
312,2009-04-16,
313,2009-04-17,
314,2009-04-20,
315,2009-04-21,
316,2009-04-22,
317,2009-04-23,
318,2009-04-24,
319,2009-04-27,
320,2009-04-28,
321,2009-04-29,
322,2009-05-04,
323,2009-05-05,
324,2009-05-06,
325,2009-05-07,
326,2009-05-08,
327,2009-05-11,
328,2009-05-12,
329,2009-05-13,
330,2009-05-14,
331,2009-05-15,
332,2009-05-18,
333,2009-05-19,
334,2009-05-20,
335,2009-05-21,
336,2009-05-22,
337,2009-05-25,
338,2009-05-26,
339,2009-05-27,
340,2009-05-28,
341,2009-05-29,
342,2009-06-01,
343,2009-06-02,
344,2009-06-03,
345,2009-06-04,
346,2009-06-05,
347,2009-06-08,
348,2009-06-09,
349,2009-06-10,
350,2009-06-11,
351,2009-06-12,
352,2009-06-15,
353,2009-06-16,
354,2009-06-17,
355,2009-06-18,
356,2009-06-19,
357,2009-06-22,
358,2009-06-23,
359,2009-06-24,
360,2009-06-25,
361,2009-06-26,
362,2009-06-29,
363,2009-06-30,
364,2009-07-01,
365,2009-07-02,
366,2009-07-03,
367,2009-07-06,
368,2009-07-07,
369,2009-07-08,
370,2009-07-09,
371,2009-07-10,
372,2009-07-13,
373,2009-07-14,
374,2009-07-15,
375,2009-07-16,
376,2009-07-17,
377,2009-07-20,
378,2009-07-21,
