,Date,NIFTY METAL
0,2011-07-12,3795.9
1,2011-07-13,3837.31
2,2011-07-14,3868.91
3,2011-07-15,3831.68
4,2011-07-18,3854.3
5,2011-07-19,3884.52
6,2011-07-20,3845.38
7,2011-07-21,3824.44
8,2011-07-22,3863.09
9,2011-07-25,3902.45
10,2011-07-26,3863.45
11,2011-07-27,3880.4
12,2011-07-28,3793.06
13,2011-07-29,3718.06
14,2011-08-01,3680.52
15,2011-08-02,3629.35
16,2011-08-03,3629.26
17,2011-08-04,3578.49
18,2011-08-05,3486.23
19,2011-08-08,3361.35
20,2011-08-09,3264.2
21,2011-08-10,3316.85
22,2011-08-11,3317.65
23,2011-08-12,3278.38
24,2011-08-16,3217.85
25,2011-08-17,3241.47
26,2011-08-18,3150.91
27,2011-08-19,3141.73
28,2011-08-22,3202.63
29,2011-08-23,3220.54
30,2011-08-24,3144.2
31,2011-08-25,3083.89
32,2011-08-26,2972.57
33,2011-08-29,3107.26
34,2011-08-30,3226.05
35,2011-09-02,3325.26
36,2011-09-05,3321.34
37,2011-09-06,3354.07
38,2011-09-07,3423.46
39,2011-09-08,3391.13
40,2011-09-09,3275.68
41,2011-09-12,3161.12
42,2011-09-13,3168.43
43,2011-09-14,3222.02
44,2011-09-15,3236.51
45,2011-09-16,3242.84
46,2011-09-19,3207.6
47,2011-09-20,3268.89
48,2011-09-21,3261.8
49,2011-09-22,3126.02
50,2011-09-23,3056.74
51,2011-09-26,2977.55
52,2011-09-27,3052.08
53,2011-09-28,2996.5
54,2011-09-29,3006.06
55,2011-09-30,2921.39
56,2011-10-03,2804.7
57,2011-10-04,2760.45
58,2011-10-05,2745.3
59,2011-10-07,2889.55
60,2011-10-10,2943.7
61,2011-10-11,2972.85
62,2011-10-12,3037.75
63,2011-10-13,3013.95
64,2011-10-14,2987.9
65,2011-10-17,2983.75
66,2011-10-18,2941.1
67,2011-10-19,2988.7
68,2011-10-20,2972.05
69,2011-10-21,2932.85
70,2011-10-24,2942.95
71,2011-10-25,3004.8
72,2011-10-26,3020.6
73,2011-10-28,3220.05
74,2011-10-31,3157.15
75,2011-11-01,3112.65
76,2011-11-02,3105.2
77,2011-11-03,3096.35
78,2011-11-04,3145.85
79,2011-11-08,3148.75
80,2011-11-09,3062.8
81,2011-11-11,2989.7
82,2011-11-14,2922.55
83,2011-11-15,2866.4
84,2011-11-16,2868.45
85,2011-11-17,2806.3
86,2011-11-18,2768.9
87,2011-11-21,2671.85
88,2011-11-22,2711.35
89,2011-11-23,2659.0
90,2011-11-24,2667.4
91,2011-11-25,2615.2
92,2011-11-28,2745.2
93,2011-11-29,2706.8
94,2011-11-30,2710.3
95,2011-12-01,2818.9
96,2011-12-02,2894.05
97,2011-12-05,2865.3
98,2011-12-07,2877.3
99,2011-12-08,2786.85
100,2011-12-09,2762.55
101,2011-12-12,2652.05
102,2011-12-13,2710.05
103,2011-12-14,2652.15
104,2011-12-15,2652.35
105,2011-12-16,2580.3
106,2011-12-19,2562.3
107,2011-12-20,2470.6
108,2011-12-21,2535.25
109,2011-12-22,2545.15
110,2011-12-23,2529.2
111,2011-12-26,2563.8
112,2011-12-27,2525.65
113,2011-12-28,2478.9
114,2011-12-29,2486.25
115,2011-12-30,2464.6
116,2012-01-02,2495.1
117,2012-01-03,2618.65
118,2012-01-04,2626.65
119,2012-01-05,2610.1
120,2012-01-06,2601.95
121,2012-01-07,2603.05
122,2012-01-09,2603.9
123,2012-01-10,2686.35
124,2012-01-11,2748.5
125,2012-01-12,2780.95
126,2012-01-13,2872.3
127,2012-01-16,2882.4
128,2012-01-17,2984.9
129,2012-01-18,2927.05
130,2012-01-19,3006.85
131,2012-01-20,3002.45
132,2012-01-23,2936.15
133,2012-01-24,2985.6
134,2012-01-25,3042.35
135,2012-01-27,3101.65
136,2012-01-30,3008.3
137,2012-01-31,3073.8
138,2012-02-01,3164.65
139,2012-02-02,3215.3
140,2012-02-03,3179.25
141,2012-02-06,3222.85
142,2012-02-07,3171.55
143,2012-02-08,3222.95
144,2012-02-09,3286.9
145,2012-02-10,3310.5
146,2012-02-13,3346.85
147,2012-02-14,3358.45
148,2012-02-15,3429.35
149,2012-02-16,3367.5
150,2012-02-17,3369.4
151,2012-02-21,3398.45
152,2012-02-22,3248.4
153,2012-02-23,3211.7
154,2012-02-24,3247.1
155,2012-02-27,3083.2
156,2012-02-28,3189.4
157,2012-02-29,3236.65
158,2012-03-01,3205.7
159,2012-03-02,3210.15
160,2012-03-03,3211.5
161,2012-03-05,3107.75
162,2012-03-06,2981.1
163,2012-03-07,2939.15
164,2012-03-09,3090.5
165,2012-03-12,3121.95
166,2012-03-13,3213.95
167,2012-03-14,3212.1
168,2012-03-15,3170.85
169,2012-03-16,3106.45
170,2012-03-19,3082.55
171,2012-03-20,3083.75
172,2012-03-21,3141.95
173,2012-03-22,3033.95
174,2012-03-23,3018.4
175,2012-03-26,2954.25
176,2012-03-27,2996.35
177,2012-03-28,2967.15
178,2012-03-29,2974.25
179,2012-03-30,3054.75
180,2012-04-02,3042.25
181,2012-04-03,3092.15
182,2012-04-04,3059.85
183,2012-04-09,2954.25
184,2012-04-10,2926.65
185,2012-04-11,2886.4
186,2012-04-12,2959.75
187,2012-04-13,2945.55
188,2012-04-16,2952.8
189,2012-04-17,3010.35
190,2012-04-18,3038.6
191,2012-04-19,3060.4
192,2012-04-20,3033.2
193,2012-04-23,2941.0
194,2012-04-24,2962.45
195,2012-04-25,2949.85
196,2012-04-26,2947.95
197,2012-04-27,2922.8
198,2012-04-28,2943.15
199,2012-04-30,2970.25
200,2012-05-02,2957.0
201,2012-05-03,2902.15
202,2012-05-04,2828.5
203,2012-05-07,2871.8
204,2012-05-08,2825.2
205,2012-05-09,2767.5
206,2012-05-10,2733.55
207,2012-05-11,2700.9
208,2012-05-14,2686.6
209,2012-05-15,2741.2
210,2012-05-16,2665.35
211,2012-05-17,2675.8
212,2012-05-18,2687.25
213,2012-05-21,2704.85
214,2012-05-22,2654.5
215,2012-05-23,2630.95
216,2012-05-24,2667.75
217,2012-05-25,2690.55
218,2012-05-28,2716.7
219,2012-05-29,2731.6
220,2012-05-30,2706.1
221,2012-05-31,2698.55
222,2012-06-01,2654.65
223,2012-06-04,2635.5
224,2012-06-05,2626.8
225,2012-06-06,2705.65
226,2012-06-07,2739.65
227,2012-06-08,2752.05
228,2012-06-11,2749.6
229,2012-06-12,2780.25
230,2012-06-13,2770.05
231,2012-06-14,2737.4
