,Date,NIFTY PHARMA
0,2008-01-01,3167.02
1,2008-01-02,3208.0
2,2008-01-03,3131.04
3,2008-01-04,3130.51
4,2008-01-07,3102.5
5,2008-01-08,3075.72
6,2008-01-09,3069.23
7,2008-01-10,2992.27
8,2008-01-11,3029.45
9,2008-01-14,3023.01
10,2008-01-15,3001.92
11,2008-01-16,2969.08
12,2008-01-17,2976.31
13,2008-01-18,2931.04
14,2008-01-21,2712.18
15,2008-01-22,2531.19
16,2008-01-23,2614.47
17,2008-01-24,2518.02
18,2008-01-25,2661.12
19,2008-01-28,2630.79
20,2008-01-29,2677.63
21,2008-01-30,2700.65
22,2008-01-31,2660.33
23,2008-02-01,2685.71
24,2008-02-04,2725.64
25,2008-02-05,2783.89
26,2008-02-06,2745.56
27,2008-02-07,2691.17
28,2008-02-08,2712.32
29,2008-02-11,2653.88
30,2008-02-12,2640.07
31,2008-02-13,2631.37
32,2008-02-14,2689.82
33,2008-02-15,2758.53
34,2008-02-18,2748.9
35,2008-02-19,2779.72
36,2008-02-20,2735.84
37,2008-02-21,2808.14
38,2008-02-22,2798.74
39,2008-02-25,2845.97
40,2008-02-26,2858.55
41,2008-02-27,2907.83
42,2008-02-28,2979.48
43,2008-02-29,2964.53
44,2008-03-03,2979.91
45,2008-03-04,2923.9
46,2008-03-05,2996.96
47,2008-03-07,2930.62
48,2008-03-10,2910.37
49,2008-03-11,2909.59
50,2008-03-12,2946.54
51,2008-03-13,2872.41
52,2008-03-14,2929.04
53,2008-03-17,2795.07
54,2008-03-18,2810.73
55,2008-03-19,2830.32
56,2008-03-24,2847.84
57,2008-03-25,2902.14
58,2008-03-26,2867.79
59,2008-03-27,2918.71
60,2008-03-28,2956.43
61,2008-03-31,2928.48
62,2008-04-01,2906.34
63,2008-04-02,2935.05
64,2008-04-03,2956.63
65,2008-04-04,2927.44
66,2008-04-07,2992.05
67,2008-04-08,2982.3
68,2008-04-09,3012.17
69,2008-04-10,2990.87
70,2008-04-11,2981.81
71,2008-04-15,3070.46
72,2008-04-16,3071.49
73,2008-04-17,3083.7
74,2008-04-21,3163.11
75,2008-04-22,3204.25
76,2008-04-23,3207.86
77,2008-04-24,3177.44
78,2008-04-25,3206.01
79,2008-04-28,3238.63
80,2008-04-29,3268.5
81,2008-04-30,3303.18
82,2008-05-02,3306.73
83,2008-05-05,3313.94
84,2008-05-06,3274.56
85,2008-05-07,3288.36
86,2008-05-08,3263.18
87,2008-05-09,3203.71
88,2008-05-12,3212.59
89,2008-05-13,3215.42
90,2008-05-14,3256.2
91,2008-05-15,3277.77
92,2008-05-16,3303.82
93,2008-05-20,3254.04
94,2008-05-21,3225.26
95,2008-05-22,3212.9
96,2008-05-23,3215.65
97,2008-05-26,3233.94
98,2008-05-27,3255.9
99,2008-05-28,3318.52
100,2008-05-29,3307.11
101,2008-05-30,3361.79
102,2008-06-02,3356.67
103,2008-06-03,3356.67
104,2008-06-04,3271.46
105,2008-06-05,3355.79
106,2008-06-06,3322.59
107,2008-06-09,3334.97
108,2008-06-10,3420.77
109,2008-06-11,3422.13
110,2008-06-12,3425.32
111,2008-06-13,3466.37
112,2008-06-16,3489.97
113,2008-06-17,3519.0
114,2008-06-18,3499.92
115,2008-06-19,3439.21
116,2008-06-20,3354.26
117,2008-06-23,3267.35
118,2008-06-24,3208.23
119,2008-06-25,3217.92
120,2008-06-26,3239.08
121,2008-06-27,3202.21
122,2008-06-30,3235.68
123,2008-07-01,3163.53
124,2008-07-02,3239.03
125,2008-07-03,3185.41
126,2008-07-04,3179.74
127,2008-07-07,3169.24
128,2008-07-08,3155.74
129,2008-07-09,3208.53
130,2008-07-10,3208.05
131,2008-07-11,3185.37
132,2008-07-14,3162.63
133,2008-07-15,3017.0
134,2008-07-16,3063.79
135,2008-07-17,3071.15
136,2008-07-18,3081.31
137,2008-07-21,3194.19
138,2008-07-22,3224.57
139,2008-07-23,3263.38
140,2008-07-24,3256.68
141,2008-07-25,3243.51
142,2008-07-28,3244.9
143,2008-07-29,3188.8
144,2008-07-30,3230.37
145,2008-07-31,3203.18
146,2008-08-01,3236.56
147,2008-08-04,3277.96
148,2008-08-05,3303.23
149,2008-08-06,3288.12
150,2008-08-07,3299.15
151,2008-08-08,3315.44
152,2008-08-11,3314.29
153,2008-08-12,3268.18
154,2008-08-13,3309.05
155,2008-08-14,3322.6
156,2008-08-18,3311.97
157,2008-08-19,3331.56
158,2008-08-20,3391.55
159,2008-08-21,3328.61
160,2008-08-22,3343.72
161,2008-08-25,3340.26
162,2008-08-26,3350.73
163,2008-08-27,3346.6
164,2008-08-28,3317.24
165,2008-08-29,3346.63
166,2008-09-01,3364.25
167,2008-09-02,3388.46
168,2008-09-04,3389.63
169,2008-09-05,3318.31
170,2008-09-08,3359.18
171,2008-09-09,3333.73
172,2008-09-10,3330.43
173,2008-09-11,3263.03
174,2008-09-12,3262.67
175,2008-09-15,3152.58
176,2008-09-16,3068.58
177,2008-09-17,3014.64
178,2008-09-18,2982.36
179,2008-09-19,3057.74
180,2008-09-22,3066.29
181,2008-09-23,3050.69
182,2008-09-24,3062.18
183,2008-09-25,3012.2
184,2008-09-26,2990.8
185,2008-09-29,2893.86
186,2008-09-30,2910.84
187,2008-10-01,2925.25
188,2008-10-03,2897.44
189,2008-10-06,2755.07
190,2008-10-07,2692.92
191,2008-10-08,2639.56
192,2008-10-10,2527.45
193,2008-10-13,2572.61
194,2008-10-14,2726.86
195,2008-10-15,2681.59
196,2008-10-16,2651.15
197,2008-10-17,2565.08
198,2008-10-20,2613.78
199,2008-10-21,2647.07
200,2008-10-22,2568.32
201,2008-10-23,2453.04
202,2008-10-24,2250.14
203,2008-10-27,2131.53
204,2008-10-28,2202.99
205,2008-10-29,2126.66
206,2008-10-31,2201.19
207,2008-11-03,2265.25
208,2008-11-04,2268.0
209,2008-11-05,2317.54
210,2008-11-06,2337.11
211,2008-11-07,2344.41
212,2008-11-10,2438.12
213,2008-11-11,2374.15
214,2008-11-12,2345.65
215,2008-11-14,2317.18
216,2008-11-17,2299.56
217,2008-11-18,2269.06
218,2008-11-19,2243.69
219,2008-11-20,2211.25
220,2008-11-21,2245.37
221,2008-11-24,2255.66
222,2008-11-25,2244.84
223,2008-11-26,2296.14
224,2008-11-28,2300.44
225,2008-12-01,2272.03
226,2008-12-02,2269.08
227,2008-12-03,2257.19
228,2008-12-04,2266.38
229,2008-12-05,2245.36
230,2008-12-08,2244.17
231,2008-12-10,2269.71
232,2008-12-11,2241.83
233,2008-12-12,2234.0
234,2008-12-15,2270.55
235,2008-12-16,2335.58
236,2008-12-17,2301.8
237,2008-12-18,2312.27
238,2008-12-19,2350.32
239,2008-12-22,2323.14
240,2008-12-23,2280.06
241,2008-12-24,2274.03
242,2008-12-26,2290.78
243,2008-12-29,2323.34
244,2008-12-30,2341.65
245,2008-12-31,2361.76
246,2009-01-01,2373.36
247,2009-01-02,2373.27
248,2009-01-05,2370.1
249,2009-01-06,2381.09
250,2009-01-07,2295.05
251,2009-01-09,2288.38
252,2009-01-12,2261.04
253,2009-01-13,2244.76
254,2009-01-14,2291.73
255,2009-01-15,2250.63
256,2009-01-16,2276.14
257,2009-01-19,2262.72
258,2009-01-20,2236.29
259,2009-01-21,2173.8
260,2009-01-22,2145.01
261,2009-01-23,2137.08
262,2009-01-27,2167.33
263,2009-01-28,2169.06
264,2009-01-29,2151.89
265,2009-01-30,2128.3
266,2009-02-02,2104.02
267,2009-02-03,2091.97
268,2009-02-04,2081.42
269,2009-02-05,2081.72
270,2009-02-06,2108.69
271,2009-02-09,2154.97
272,2009-02-10,2186.93
273,2009-02-11,2152.59
274,2009-02-12,2159.39
275,2009-02-13,2139.6
276,2009-02-16,2095.37
277,2009-02-17,2077.74
278,2009-02-18,2068.06
279,2009-02-19,2065.29
280,2009-02-20,2041.83
281,2009-02-24,2037.92
282,2009-02-25,2053.64
283,2009-02-26,2039.83
284,2009-02-27,2039.19
285,2009-03-02,2030.11
286,2009-03-03,1999.62
287,2009-03-04,2018.11
288,2009-03-05,1986.47
289,2009-03-06,1992.35
290,2009-03-09,1968.69
291,2009-03-12,1998.28
292,2009-03-13,2004.31
293,2009-03-16,2020.71
294,2009-03-17,2018.62
295,2009-03-18,2029.58
296,2009-03-19,2035.21
297,2009-03-20,2022.77
298,2009-03-23,2083.98
299,2009-03-24,2070.81
300,2009-03-25,2071.73
301,2009-03-26,2097.0
302,2009-03-27,2149.27
303,2009-03-30,2148.73
304,2009-03-31,2200.35
305,2009-04-01,2176.18
306,2009-04-02,2211.87
307,2009-04-06,2213.78
308,2009-04-08,2285.36
309,2009-04-09,2277.75
310,2009-04-13,2305.26
311,2009-04-15,2399.94
312,2009-04-16,2372.33
313,2009-04-17,2341.46
314,2009-04-20,2330.04
315,2009-04-21,2369.02
316,2009-04-22,2331.28
317,2009-04-23,2344.63
318,2009-04-24,2368.13
319,2009-04-27,2396.06
320,2009-04-28,2358.34
321,2009-04-29,2389.24
322,2009-05-04,2423.97
323,2009-05-05,2425.87
324,2009-05-06,2411.04
325,2009-05-07,2448.84
326,2009-05-08,2419.91
327,2009-05-11,2393.17
328,2009-05-12,2421.9
329,2009-05-13,2412.36
330,2009-05-14,2410.95
331,2009-05-15,2460.17
332,2009-05-18,2750.6
333,2009-05-19,2532.1
334,2009-05-20,2556.79
335,2009-05-21,2527.07
336,2009-05-22,2567.09
337,2009-05-25,2655.29
338,2009-05-26,2615.16
339,2009-05-27,2662.24
340,2009-05-28,2659.01
341,2009-05-29,2597.91
342,2009-06-01,2582.42
343,2009-06-02,2581.59
344,2009-06-03,2645.84
345,2009-06-04,2724.95
346,2009-06-05,2757.76
347,2009-06-08,2697.03
348,2009-06-09,2739.1
349,2009-06-10,2803.28
350,2009-06-11,2807.93
351,2009-06-12,2760.16
352,2009-06-15,2744.94
353,2009-06-16,2780.33
354,2009-06-17,2738.2
355,2009-06-18,2727.46
356,2009-06-19,2771.71
357,2009-06-22,2742.3
358,2009-06-23,2740.73
359,2009-06-24,2810.46
360,2009-06-25,2766.69
361,2009-06-26,2692.55
362,2009-06-29,2675.75
363,2009-06-30,2618.73
364,2009-07-01,2629.31
365,2009-07-02,2662.12
366,2009-07-03,2714.71
367,2009-07-06,2673.2
368,2009-07-07,2697.13
369,2009-07-08,2670.1
370,2009-07-09,2698.48
371,2009-07-10,2643.36
372,2009-07-13,2643.53
373,2009-07-14,2689.29
374,2009-07-15,2749.44
375,2009-07-16,2764.98
376,2009-07-17,2797.73
377,2009-07-20,2845.44
378,2009-07-21,2859.05
379,2009-07-22,2823.46
380,2009-07-23,2895.51
381,2009-07-24,2906.85
382,2009-07-27,2903.52
383,2009-07-28,2890.82
384,2009-07-29,2824.62
385,2009-07-30,2815.54
386,2009-07-31,2835.4
387,2009-08-03,2856.77
388,2009-08-04,2817.38
389,2009-08-05,2843.4
390,2009-08-06,2829.62
391,2009-08-07,2795.36
392,2009-08-10,2802.54
393,2009-08-11,2831.01
394,2009-08-12,2885.26
395,2009-08-13,2921.36
396,2009-08-14,2895.95
397,2009-08-17,2822.58
398,2009-08-18,2840.09
399,2009-08-19,2805.09
400,2009-08-20,2814.96
401,2009-08-21,2819.48
402,2009-08-24,2838.23
403,2009-08-25,2874.85
404,2009-08-26,2886.31
405,2009-08-27,2922.76
406,2009-08-28,2918.92
407,2009-08-31,2890.27
408,2009-09-01,2852.63
409,2009-09-02,2861.42
410,2009-09-03,2844.81
411,2009-09-04,2870.0
412,2009-09-07,2908.63
413,2009-09-08,2892.01
414,2009-09-09,2893.97
415,2009-09-10,2911.76
416,2009-09-11,2908.58
417,2009-09-14,2903.15
418,2009-09-15,2939.64
419,2009-09-16,2959.91
420,2009-09-17,2950.94
421,2009-09-18,2981.15
422,2009-09-22,3015.3
423,2009-09-23,3019.13
424,2009-09-24,3055.07
425,2009-09-25,3214.52
426,2009-09-29,3274.58
427,2009-09-30,3288.1
428,2009-10-01,3252.43
429,2009-10-05,3246.62
430,2009-10-06,3255.76
431,2009-10-07,3300.47
432,2009-10-08,3310.27
433,2009-10-09,3275.46
434,2009-10-12,3324.1
435,2009-10-14,3372.31
436,2009-10-15,3313.3
437,2009-10-16,3309.85
438,2009-10-17,3311.66
439,2009-10-20,3292.15
440,2009-10-21,3238.87
441,2009-10-22,3188.7
442,2009-10-23,3257.91
443,2009-10-26,3290.96
444,2009-10-27,3270.28
445,2009-10-28,3284.97
446,2009-10-29,3299.16
447,2009-10-30,3266.44
448,2009-11-03,3266.05
449,2009-11-04,3321.46
450,2009-11-05,3351.01
451,2009-11-06,3376.32
452,2009-11-09,3417.46
453,2009-11-10,3405.95
454,2009-11-11,3472.0
455,2009-11-12,3447.16
456,2009-11-13,3457.98
457,2009-11-16,3488.04
458,2009-11-17,3489.04
459,2009-11-18,3499.04
460,2009-11-19,3470.02
461,2009-11-20,3503.85
462,2009-11-23,3552.4
463,2009-11-24,3561.98
464,2009-11-25,3539.51
465,2009-11-26,3539.42
466,2009-11-27,3545.63
467,2009-11-30,3574.56
468,2009-12-01,3681.24
469,2009-12-02,3683.65
470,2009-12-03,3742.21
471,2009-12-04,3778.44
472,2009-12-07,3738.77
473,2009-12-08,3738.28
474,2009-12-09,3734.32
475,2009-12-10,3721.64
476,2009-12-11,3699.96
477,2009-12-14,3717.61
478,2009-12-15,3721.23
479,2009-12-16,3745.3
480,2009-12-17,3795.79
481,2009-12-18,3850.16
482,2009-12-21,3819.1
483,2009-12-22,3801.52
484,2009-12-23,3842.43
485,2009-12-24,3842.51
486,2009-12-29,3776.62
487,2009-12-30,3766.05
488,2009-12-31,3758.05
489,2010-01-04,3754.25
490,2010-01-05,3779.3
491,2010-01-06,3867.2
492,2010-01-07,3824.94
493,2010-01-08,3839.09
494,2010-01-11,3837.92
495,2010-01-12,3808.5
496,2010-01-13,3816.37
497,2010-01-14,3833.51
498,2010-01-15,3832.16
499,2010-01-18,3816.33
500,2010-01-19,3755.93
501,2010-01-20,3739.69
502,2010-01-21,3650.12
503,2010-01-22,3590.33
504,2010-01-25,3581.95
