,Date,NIFTY PSU BANK
0,2008-01-01,3309.56
1,2008-01-02,3427.25
2,2008-01-03,3412.19
3,2008-01-04,3396.53
4,2008-01-07,3396.14
5,2008-01-08,3395.16
6,2008-01-09,3389.57
7,2008-01-10,3312.14
8,2008-01-11,3333.26
9,2008-01-14,3396.37
10,2008-01-15,3363.26
11,2008-01-16,3345.7
12,2008-01-17,3354.69
13,2008-01-18,3207.26
14,2008-01-21,2924.13
15,2008-01-22,2771.48
16,2008-01-23,3045.13
17,2008-01-24,3027.73
18,2008-01-25,3165.79
19,2008-01-28,3238.49
20,2008-01-29,3112.6
21,2008-01-30,3074.5
22,2008-01-31,2990.36
23,2008-02-01,3030.78
24,2008-02-04,3180.74
25,2008-02-05,3144.6
26,2008-02-06,3071.49
27,2008-02-07,3011.43
28,2008-02-08,3022.93
29,2008-02-11,2866.75
30,2008-02-12,2844.36
31,2008-02-13,2923.41
32,2008-02-14,3053.37
33,2008-02-15,3144.5
34,2008-02-18,3120.96
35,2008-02-19,3114.16
36,2008-02-20,3047.79
37,2008-02-21,2977.85
38,2008-02-22,2914.65
39,2008-02-25,2918.17
40,2008-02-26,2932.39
41,2008-02-27,2906.81
42,2008-02-28,2842.2
43,2008-02-29,2926.96
44,2008-03-03,2686.94
45,2008-03-04,2603.32
46,2008-03-05,2532.66
47,2008-03-07,2471.46
48,2008-03-10,2517.64
49,2008-03-11,2550.51
50,2008-03-12,2461.57
51,2008-03-13,2329.72
52,2008-03-14,2355.47
53,2008-03-17,2242.82
54,2008-03-18,2187.1
55,2008-03-19,2180.0
56,2008-03-24,2230.27
57,2008-03-25,2382.98
58,2008-03-26,2363.96
59,2008-03-27,2295.51
60,2008-03-28,2349.35
61,2008-03-31,2249.1
62,2008-04-01,2261.55
63,2008-04-02,2312.03
64,2008-04-03,2294.07
65,2008-04-04,2228.07
66,2008-04-07,2325.32
67,2008-04-08,2334.27
68,2008-04-09,2371.91
69,2008-04-10,2341.35
70,2008-04-11,2352.43
71,2008-04-15,2367.67
72,2008-04-16,2357.52
73,2008-04-17,2412.13
74,2008-04-21,2480.5
75,2008-04-22,2482.88
76,2008-04-23,2443.68
77,2008-04-24,2432.04
78,2008-04-25,2497.92
79,2008-04-28,2489.42
80,2008-04-29,2553.45
81,2008-04-30,2529.24
82,2008-05-02,2585.67
83,2008-05-05,2556.79
84,2008-05-06,2537.29
85,2008-05-07,2533.35
86,2008-05-08,2480.91
87,2008-05-09,2418.75
88,2008-05-12,2399.53
89,2008-05-13,2396.23
90,2008-05-14,2391.5
91,2008-05-15,2435.82
92,2008-05-16,2482.21
93,2008-05-20,2420.0
94,2008-05-21,2416.88
95,2008-05-22,2347.94
96,2008-05-23,2302.99
97,2008-05-26,2245.37
98,2008-05-27,2156.85
99,2008-05-28,2205.38
100,2008-05-29,2150.2
101,2008-05-30,2124.6
102,2008-06-02,2062.84
103,2008-06-03,2047.07
104,2008-06-04,1968.95
105,2008-06-05,1967.87
106,2008-06-06,1946.13
107,2008-06-09,1891.11
108,2008-06-10,1864.54
109,2008-06-11,1909.45
110,2008-06-12,1943.9
111,2008-06-13,1931.11
112,2008-06-16,1945.58
113,2008-06-17,2039.87
114,2008-06-18,1994.03
115,2008-06-19,1924.57
116,2008-06-20,1839.34
117,2008-06-23,1757.6
118,2008-06-24,1743.72
119,2008-06-25,1736.21
120,2008-06-26,1764.33
121,2008-06-27,1680.4
122,2008-06-30,1617.49
123,2008-07-01,1507.67
124,2008-07-02,1595.7
125,2008-07-03,1610.54
126,2008-07-04,1637.81
127,2008-07-07,1679.71
128,2008-07-08,1710.2
129,2008-07-09,1760.6
130,2008-07-10,1764.8
131,2008-07-11,1734.26
132,2008-07-14,1766.78
133,2008-07-15,1670.72
134,2008-07-16,1631.2
135,2008-07-17,1733.54
136,2008-07-18,1820.95
137,2008-07-21,1895.54
138,2008-07-22,1961.03
139,2008-07-23,2133.99
140,2008-07-24,2053.42
141,2008-07-25,2030.12
142,2008-07-28,2020.95
143,2008-07-29,1867.49
144,2008-07-30,1958.43
145,2008-07-31,1975.44
146,2008-08-01,2096.55
147,2008-08-04,2116.96
148,2008-08-05,2225.08
149,2008-08-06,2162.83
150,2008-08-07,2164.9
151,2008-08-08,2161.55
152,2008-08-11,2256.07
153,2008-08-12,2190.5
154,2008-08-13,2169.78
155,2008-08-14,2041.46
156,2008-08-18,2037.76
157,2008-08-19,2017.65
158,2008-08-20,2024.92
159,2008-08-21,1921.55
160,2008-08-22,1928.64
161,2008-08-25,1952.79
162,2008-08-26,1969.08
163,2008-08-27,1931.58
164,2008-08-28,1905.45
165,2008-08-29,2034.42
166,2008-09-01,2056.78
167,2008-09-02,2185.94
168,2008-09-04,2207.27
169,2008-09-05,2173.71
170,2008-09-08,2250.19
171,2008-09-09,2199.45
172,2008-09-10,2217.79
173,2008-09-11,2195.13
174,2008-09-12,2170.72
175,2008-09-15,2105.79
176,2008-09-16,2219.03
177,2008-09-17,2159.34
178,2008-09-18,2215.4
179,2008-09-19,2229.92
180,2008-09-22,2215.9
181,2008-09-23,2144.04
182,2008-09-24,2151.75
183,2008-09-25,2129.32
