,Date,NIFTY REALTY
0,2008-01-01,1782.67
1,2008-01-02,1835.42
2,2008-01-03,1812.25
3,2008-01-04,1810.96
4,2008-01-07,1855.08
5,2008-01-08,1842.79
6,2008-01-09,1867.72
7,2008-01-10,1827.22
8,2008-01-11,1852.49
9,2008-01-14,1878.43
10,2008-01-15,1850.83
11,2008-01-16,1773.35
12,2008-01-17,1773.24
13,2008-01-18,1666.31
14,2008-01-21,1440.44
15,2008-01-22,1310.81
16,2008-01-23,1462.12
17,2008-01-24,1405.46
18,2008-01-25,1552.32
19,2008-01-28,1482.79
20,2008-01-29,1441.34
21,2008-01-30,1402.65
22,2008-01-31,1376.48
23,2008-02-01,1374.94
24,2008-02-04,1461.51
25,2008-02-05,1484.84
26,2008-02-06,1449.12
27,2008-02-07,1398.45
28,2008-02-08,1361.21
29,2008-02-11,1268.12
30,2008-02-12,1254.52
31,2008-02-13,1306.03
32,2008-02-14,1405.27
33,2008-02-15,1452.39
34,2008-02-18,1407.58
35,2008-02-19,1390.22
36,2008-02-20,1339.34
37,2008-02-21,1341.3
38,2008-02-22,1332.93
39,2008-02-25,1346.43
40,2008-02-26,1383.45
41,2008-02-27,1383.14
42,2008-02-28,1362.42
43,2008-02-29,1328.99
44,2008-03-03,1243.09
45,2008-03-04,1173.55
46,2008-03-05,1154.9
47,2008-03-07,1071.13
48,2008-03-10,1061.65
49,2008-03-11,1133.87
50,2008-03-12,1147.42
51,2008-03-13,1012.33
52,2008-03-14,1058.26
53,2008-03-17,971.87
54,2008-03-18,985.78
55,2008-03-19,967.1
56,2008-03-24,934.63
57,2008-03-25,1022.24
58,2008-03-26,1026.05
59,2008-03-27,1049.22
60,2008-03-28,1104.65
61,2008-03-31,1042.01
62,2008-04-01,1030.97
63,2008-04-02,1035.84
64,2008-04-03,1037.36
65,2008-04-04,1010.97
66,2008-04-07,1034.31
67,2008-04-08,1018.88
68,2008-04-09,1000.59
69,2008-04-10,991.05
70,2008-04-11,987.36
71,2008-04-15,1003.42
72,2008-04-16,1005.53
73,2008-04-17,1049.41
74,2008-04-21,1060.31
75,2008-04-22,1084.3
76,2008-04-23,1105.05
77,2008-04-24,1105.28
78,2008-04-25,1123.47
79,2008-04-28,1126.79
80,2008-04-29,1193.32
81,2008-04-30,1171.58
82,2008-05-02,1209.22
83,2008-05-05,1209.04
84,2008-05-06,1154.54
85,2008-05-07,1134.63
86,2008-05-08,1125.31
87,2008-05-09,1093.3
88,2008-05-12,1072.94
89,2008-05-13,1075.78
90,2008-05-14,1082.82
91,2008-05-15,1119.0
92,2008-05-16,1122.92
93,2008-05-20,1103.77
94,2008-05-21,1101.21
95,2008-05-22,1072.66
96,2008-05-23,1046.06
97,2008-05-26,1018.99
98,2008-05-27,1008.85
99,2008-05-28,1009.9
100,2008-05-29,991.75
101,2008-05-30,978.44
102,2008-06-02,936.88
103,2008-06-03,935.8
104,2008-06-04,888.46
105,2008-06-05,880.37
106,2008-06-06,864.0
107,2008-06-09,799.82
108,2008-06-10,782.52
109,2008-06-11,803.46
110,2008-06-12,803.51
111,2008-06-13,785.78
112,2008-06-16,815.55
113,2008-06-17,847.24
114,2008-06-18,816.47
115,2008-06-19,780.18
116,2008-06-20,743.86
117,2008-06-23,716.39
118,2008-06-24,700.44
119,2008-06-25,715.74
120,2008-06-26,700.85
121,2008-06-27,669.21
122,2008-06-30,620.53
123,2008-07-01,573.16
124,2008-07-02,640.58
125,2008-07-03,581.45
126,2008-07-04,630.19
127,2008-07-07,631.2
128,2008-07-08,624.97
129,2008-07-09,662.64
130,2008-07-10,658.34
131,2008-07-11,648.41
132,2008-07-14,642.11
133,2008-07-15,609.41
134,2008-07-16,572.16
135,2008-07-17,601.09
136,2008-07-18,635.36
137,2008-07-21,653.48
138,2008-07-22,655.83
139,2008-07-23,710.96
140,2008-07-24,715.75
141,2008-07-25,684.77
142,2008-07-28,690.78
143,2008-07-29,653.22
144,2008-07-30,686.69
145,2008-07-31,690.4
146,2008-08-01,704.92
147,2008-08-04,711.75
148,2008-08-05,756.64
149,2008-08-06,750.62
150,2008-08-07,755.62
151,2008-08-08,747.7
152,2008-08-11,787.64
153,2008-08-12,769.7
154,2008-08-13,758.15
155,2008-08-14,696.39
156,2008-08-18,692.34
157,2008-08-19,689.89
158,2008-08-20,700.58
159,2008-08-21,665.9
160,2008-08-22,666.19
161,2008-08-25,677.94
162,2008-08-26,672.17
163,2008-08-27,648.26
164,2008-08-28,633.92
165,2008-08-29,668.18
166,2008-09-01,667.15
167,2008-09-02,720.05
168,2008-09-04,694.08
169,2008-09-05,666.08
170,2008-09-08,688.61
171,2008-09-09,679.02
172,2008-09-10,667.57
173,2008-09-11,649.8
174,2008-09-12,626.12
175,2008-09-15,577.74
176,2008-09-16,551.5
177,2008-09-17,527.48
178,2008-09-18,502.52
179,2008-09-19,542.29
180,2008-09-22,542.54
181,2008-09-23,515.3
182,2008-09-24,515.61
183,2008-09-25,506.37
184,2008-09-26,474.28
185,2008-09-29,446.26
