,Unnamed: 0_x,Date,NIFTY_50,Unnamed: 0_y,NIFTY_AUTO,Unnamed: 0_x,NIFTY_BANK,Unnamed: 0_y,NIFTY_FMCG,Unnamed: 0_x,NIFTY_IT,Unnamed: 0_y,NIFTY_MEDIA,Unnamed: 0_x,NIFTY_METAL,Unnamed: 0_y,NIFTY_PHARMA,Unnamed: 0_x,NIFTY_PSU_BANK,Unnamed: 0_y,NIFTY_REALTY
0,872,2011-07-12,5556.9,872,,872,11040.7,872,10328.25,872,6483.05,872,,0,3795.9,872,4818.8,861,3909.7,872,280.25
1,873,2011-07-13,5542.05,873,,873,11065.2,873,10333.05,873,6384.9,873,,1,3837.31,873,4889.6,862,3950.85,873,283.4
2,874,2011-07-14,5569.0,874,,874,11121.4,874,10390.4,874,6383.35,874,,2,3868.91,874,4934.75,863,4001.5,874,290.25
3,875,2011-07-15,5602.95,875,,875,11249.4,875,10343.3,875,6395.3,875,,3,3831.68,875,4922.3,864,4002.65,875,288.3
4,876,2011-07-18,5581.75,876,,876,11234.7,876,10320.75,876,6351.1,876,,4,3854.3,876,4868.45,865,4017.45,876,291.15
5,877,2011-07-19,5569.85,877,,877,11230.05,877,10329.75,877,6304.3,877,,5,3884.52,877,4907.45,866,4058.8,877,294.8
6,878,2011-07-20,5642.05,878,,878,11372.15,878,10384.35,878,6409.25,878,,6,3845.38,878,4826.9,867,4014.5,878,296.0
7,879,2011-07-21,5554.6,879,,879,11159.1,879,10381.25,879,6314.05,879,,7,3824.44,879,4786.35,868,3983.45,879,291.9
8,880,2011-07-22,5576.95,880,,880,11110.75,880,10475.4,880,6366.3,880,,8,3863.09,880,4850.0,869,4066.2,880,294.35
9,881,2011-07-25,5633.8,881,,881,11286.25,881,10459.35,881,6426.3,881,,9,3902.45,881,4905.45,870,4096.75,881,296.55
10,882,2011-07-26,5688.45,882,,882,11397.95,882,10397.3,882,6433.65,882,,10,3863.45,882,4869.4,871,3999.8,882,285.85
11,883,2011-07-27,5588.55,883,,883,11126.7,883,10280.75,883,6431.35,883,,11,3880.4,883,4861.65,872,3925.6,883,284.4
12,884,2011-07-28,5492.4,884,,884,10902.6,884,10167.35,884,6344.4,884,,12,3793.06,884,4877.1,873,3850.2,884,279.6
13,885,2011-07-29,5479.0,885,,885,10820.65,885,10345.3,885,6293.65,885,,13,3718.06,885,4848.45,874,3842.3,885,273.05
14,886,2011-08-01,5527.5,886,,886,11014.15,886,10490.35,886,6350.4,886,,14,3680.52,886,4881.7,875,3832.8,886,274.25
15,887,2011-08-02,5493.2,887,,887,10902.55,887,10416.55,887,6353.35,887,,15,3629.35,887,4892.2,876,3740.4,887,269.5
16,888,2011-08-03,5402.0,888,,888,10647.9,888,10249.35,888,6232.25,888,,16,3629.26,888,4841.5,877,3733.0,888,266.05
17,889,2011-08-04,5412.4,889,,889,10682.45,889,10286.6,889,6222.8,889,,17,3578.49,889,4764.75,878,3704.7,889,260.25
18,890,2011-08-05,5204.35,890,,890,10306.1,890,9966.35,890,6022.4,890,,18,3486.23,890,4710.75,879,3668.6,890,251.2
19,891,2011-08-08,5083.85,891,,891,10121.4,891,9856.2,891,5709.9,891,,19,3361.35,891,4684.2,880,3659.4,891,239.2
20,892,2011-08-09,4947.9,892,,892,9952.2,892,9727.3,892,5415.25,892,,20,3264.2,892,4543.65,881,3658.2,892,238.35
